                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                    173,                0.74515,                 0.5329,                0.99763,                0.99921,              0.0004258
                    174,                0.74412,                0.53325,                0.99724,                0.99882,              0.0004225
                    175,                0.72962,                0.53344,                0.99724,                      1,              0.0004192
                    176,                0.74425,                0.53265,                0.99724,                0.99882,              0.0004159
                    177,                 0.7638,                0.53342,                0.99724,                0.99921,              0.0004126
                    178,                 0.7429,                0.53225,                0.99684,                0.99921,              0.0004093
                    179,                0.73358,                0.53382,                0.99763,                0.99882,               0.000406
                    180,                0.74649,                0.53282,                0.99842,                0.99842,              0.0004027
                    181,                0.74527,                0.53391,                0.99763,                0.99842,              0.0003994
                    182,                0.73935,                0.53138,                0.99803,                0.99842,              0.0003961
                    183,                0.73045,                0.53357,                0.99763,                0.99842,              0.0003928
                    184,                0.74533,                0.53348,                0.99724,                0.99842,              0.0003895
                    185,                 0.7495,                0.52997,                0.99803,                0.99842,              0.0003862
                    186,                0.73008,                0.53096,                0.99803,                0.99842,              0.0003829
                    187,                0.73413,                0.53016,                0.99803,                0.99842,              0.0003796
                    188,                0.74616,                0.53068,                0.99724,                0.99842,              0.0003763
                    189,                0.71744,                0.53037,                0.99763,                0.99842,               0.000373
                    190,                0.72401,                0.53002,                0.99763,                0.99882,              0.0003697
                    191,                0.73725,                0.53117,                0.99684,                0.99961,              0.0003664
                    192,                0.75577,                  0.532,                0.99763,                0.99921,              0.0003631
                    193,                0.72752,                0.53123,                0.99763,                0.99882,              0.0003598
                    194,                0.73045,                0.52994,                0.99803,                0.99882,              0.0003565
                    195,                 0.7322,                0.52833,                0.99842,                0.99842,              0.0003532
                    196,                0.72625,                0.53033,                0.99842,                0.99842,              0.0003499
                    197,                0.71923,                0.52896,                0.99842,                0.99842,              0.0003466
                    198,                0.72667,                0.52852,                0.99803,                0.99842,              0.0003433
                    199,                0.73235,                   0.53,                0.99803,                0.99842,                0.00034
                    200,                0.74598,                 0.5296,                0.99803,                0.99961,              0.0003367
                    201,                 0.7342,                0.53056,                0.99842,                0.99842,              0.0003334
                    202,                0.73177,                0.53329,                0.99842,                0.99842,              0.0003301
                    203,                0.72267,                0.53026,                0.99842,                0.99842,              0.0003268
                    204,                0.72132,                0.52934,                0.99803,                0.99842,              0.0003235
                    205,                0.72521,                0.53044,                0.99763,                0.99842,              0.0003202
                    206,                0.71122,                 0.5298,                0.99803,                0.99842,              0.0003169
                    207,                 0.7096,                   0.53,                0.99803,                0.99842,              0.0003136
                    208,                  0.709,                0.52902,                0.99803,                0.99921,              0.0003103
                    209,                0.70904,                0.52902,                0.99803,                0.99882,               0.000307
                    210,                0.75295,                0.52788,                0.99803,                      1,              0.0003037
                    211,                0.71899,                0.52751,                0.99842,                      1,              0.0003004
                    212,                0.73028,                0.52677,                0.99842,                      1,              0.0002971
                    213,                0.70833,                0.52659,                0.99842,                      1,              0.0002938
                    214,                0.70954,                0.52653,                0.99803,                0.99961,              0.0002905
                    215,                 0.7016,                0.52775,                0.99803,                0.99921,              0.0002872
                    216,                 0.7055,                0.52689,                0.99842,                0.99921,              0.0002839
                    217,                0.72417,                0.52687,                0.99842,                0.99921,              0.0002806
                    218,                0.70959,                0.52687,                0.99803,                0.99961,              0.0002773
                    219,                0.69567,                0.52603,                0.99842,                0.99961,               0.000274
                    220,                0.68551,                0.52664,                0.99842,                0.99961,              0.0002707
                    221,                 0.7045,                0.52643,                0.99842,                0.99921,              0.0002674
                    222,                0.71351,                0.52656,                0.99842,                0.99961,              0.0002641
                    223,                0.70124,                0.52632,                0.99842,                0.99961,              0.0002608
                    224,                0.70853,                0.52602,                0.99842,                0.99961,              0.0002575
                    225,                0.70674,                0.52611,                0.99842,                0.99921,              0.0002542
                    226,                0.69283,                0.52768,                0.99803,                0.99921,              0.0002509
                    227,                 0.6878,                0.52706,                0.99763,                0.99921,              0.0002476
                    228,                0.71079,                0.52662,                0.99803,                0.99921,              0.0002443
                    229,                0.71682,                0.52659,                0.99803,                0.99921,               0.000241
                    230,                0.68757,                0.52665,                0.99803,                0.99921,              0.0002377
                    231,                0.70233,                0.52575,                0.99842,                0.99921,              0.0002344
                    232,                0.70381,                0.52571,                0.99842,                0.99921,              0.0002311
                    233,                0.68366,                0.52612,                0.99842,                0.99921,              0.0002278
                    234,                0.68791,                0.52628,                0.99842,                0.99961,              0.0002245
                    235,                 0.6774,                0.52617,                0.99842,                0.99921,              0.0002212
                    236,                0.68292,                0.52556,                0.99842,                0.99921,              0.0002179
                    237,                0.67704,                0.52526,                0.99842,                      1,              0.0002146
                    238,                0.69084,                0.52598,                0.99803,                      1,              0.0002113
                    239,                0.69115,                0.52494,                0.99842,                      1,               0.000208
                    240,                0.70521,                0.52506,                0.99842,                0.99961,              0.0002047
                    241,                0.68141,                 0.5252,                0.99842,                0.99961,              0.0002014
                    242,                0.67699,                0.52499,                0.99842,                0.99921,              0.0001981
                    243,                0.67255,                0.52507,                0.99842,                0.99921,              0.0001948
                    244,                0.65877,                0.52541,                0.99842,                0.99921,              0.0001915
                    245,                0.69022,                0.52507,                0.99842,                0.99961,              0.0001882
                    246,                0.68297,                 0.5251,                0.99842,                0.99961,              0.0001849
                    247,                0.68611,                0.52463,                0.99842,                0.99961,              0.0001816
                    248,                0.67659,                0.52415,                0.99842,                0.99961,              0.0001783
                    249,                0.68309,                 0.5241,                0.99842,                0.99921,               0.000175
                    250,                0.67647,                0.52422,                0.99842,                0.99961,              0.0001717
                    251,                0.67723,                0.52398,                0.99842,                0.99961,              0.0001684
                    252,                0.67833,                0.52416,                0.99842,                0.99961,              0.0001651
                    253,                0.68534,                0.52396,                0.99842,                0.99961,              0.0001618
                    254,                0.67499,                0.52407,                0.99842,                0.99961,              0.0001585
                    255,                0.66422,                0.52419,                0.99842,                0.99961,              0.0001552
                    256,                0.66021,                0.52404,                0.99842,                0.99961,              0.0001519
                    257,                0.66834,                0.52387,                0.99842,                0.99961,              0.0001486
                    258,                0.66721,                0.52474,                0.99842,                0.99961,              0.0001453
                    259,                0.66166,                0.52392,                0.99842,                0.99961,               0.000142
                    260,                0.67538,                0.52444,                0.99842,                0.99961,              0.0001387
                    261,                0.65342,                0.52451,                0.99842,                0.99921,              0.0001354
                    262,                0.66698,                0.52397,                0.99842,                0.99921,              0.0001321
                    263,                0.66395,                0.52397,                0.99842,                0.99921,              0.0001288
                    264,                0.65261,                0.52436,                0.99842,                0.99921,              0.0001255
                    265,                 0.6741,                0.52421,                0.99842,                0.99921,              0.0001222
                    266,                0.65845,                0.52465,                0.99842,                0.99921,              0.0001189
                    267,                0.63376,                0.52462,                0.99842,                0.99961,              0.0001156
                    268,                0.66258,                0.52452,                0.99842,                0.99961,              0.0001123
                    269,                0.66181,                0.52472,                0.99842,                0.99921,               0.000109
                    270,                0.65107,                0.52464,                0.99842,                0.99921,              0.0001057
                    271,                0.65834,                0.52428,                0.99842,                0.99921,              0.0001024
                    272,                0.66302,                0.52405,                0.99842,                0.99961,               9.91e-05
                    273,                0.65924,                0.52398,                0.99842,                0.99961,               9.58e-05
                    274,                0.65021,                0.52408,                0.99842,                0.99961,               9.25e-05
                    275,                0.64859,                0.52417,                0.99842,                0.99921,               8.92e-05
                    276,                0.64486,                0.52399,                0.99842,                0.99961,               8.59e-05
                    277,                0.64849,                0.52389,                0.99842,                0.99961,               8.26e-05
                    278,                0.64089,                0.52383,                0.99842,                0.99961,               7.93e-05
