                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                    177,                0.82908,                0.54506,                0.99921,                 0.9998,              0.0004126
                    178,                0.82801,                0.54527,                0.99921,                 0.9998,              0.0004093
                    179,                0.82753,                0.54511,                0.99921,                 0.9998,               0.000406
                    180,                0.79932,                0.54431,                0.99921,                 0.9998,              0.0004027
                    181,                0.81083,                0.54371,                0.99921,                 0.9998,              0.0003994
                    182,                0.81461,                0.54435,                0.99921,                 0.9998,              0.0003961
                    183,                0.81877,                0.54502,                0.99921,                 0.9998,              0.0003928
                    184,                0.81071,                0.54438,                0.99921,                 0.9998,              0.0003895
                    185,                0.80554,                0.54388,                0.99921,                 0.9996,              0.0003862
                    186,                0.80198,                0.54328,                0.99921,                 0.9996,              0.0003829
                    187,                0.79942,                0.54307,                0.99921,                 0.9996,              0.0003796
                    188,                0.81228,                0.54175,                0.99921,                 0.9996,              0.0003763
                    189,                0.79233,                0.54197,                0.99921,                 0.9998,               0.000373
                    190,                0.79048,                0.54158,                0.99921,                 0.9998,              0.0003697
                    191,                0.79156,                0.54146,                0.99921,                 0.9998,              0.0003664
                    192,                0.79102,                0.54198,                0.99921,                 0.9998,              0.0003631
                    193,                0.79126,                0.54127,                0.99921,                 0.9998,              0.0003598
                    194,                0.78664,                0.54129,                0.99921,                 0.9998,              0.0003565
                    195,                0.77737,                0.54123,                0.99921,                 0.9998,              0.0003532
                    196,                0.77867,                0.54088,                0.99921,                 0.9998,              0.0003499
                    197,                 0.7804,                0.54046,                0.99921,                 0.9998,              0.0003466
                    198,                0.78576,                0.53996,                0.99921,                 0.9998,              0.0003433
                    199,                 0.7902,                0.53971,                0.99921,                 0.9998,                0.00034
                    200,                0.77604,                0.53998,                0.99921,                 0.9998,              0.0003367
                    201,                 0.7726,                0.54026,                0.99921,                 0.9998,              0.0003334
                    202,                0.76356,                0.53981,                0.99921,                 0.9998,              0.0003301
                    203,                0.77293,                0.53983,                0.99921,                 0.9998,              0.0003268
                    204,                0.76297,                 0.5397,                0.99921,                 0.9996,              0.0003235
                    205,                0.76434,                0.54046,                0.99921,                0.99941,              0.0003202
                    206,                 0.7583,                0.53926,                0.99921,                0.99941,              0.0003169
                    207,                0.76401,                0.53894,                0.99921,                0.99941,              0.0003136
                    208,                0.75379,                0.53849,                0.99921,                0.99941,              0.0003103
                    209,                0.76132,                 0.5382,                0.99921,                0.99941,               0.000307
                    210,                0.75982,                0.53827,                0.99921,                0.99941,              0.0003037
                    211,                0.74002,                 0.5383,                0.99921,                0.99941,              0.0003004
                    212,                0.75133,                0.53798,                0.99921,                0.99941,              0.0002971
                    213,                0.75077,                0.53785,                0.99921,                0.99941,              0.0002938
